split,sample_idx,node_id,freq_learn,freq_rw,in_degree,out_degree,tot_degree,energy_learn,energy_rw,jaccard_w,rho_energy_delta_learn,rho_energy_delta_rw,global_f1_learn,global_auc_learn,global_acc_learn,global_f1_rw,global_auc_rw,global_acc_rw
1,3,0,0.0555555559694767,0.0,5,5,10,0.003086419776082039,0.0,0.16129033267498016,0.17701588297094847,0.27003086243366087,0.8533333333333333,0.9027450980392158,0.8366336633663366,0.8311688311688312,0.9059803921568627,0.806930693069307
1,3,1,0.0,0.0555555559694767,17,17,34,0.0,0.003086419776082039,0.16129033267498016,0.17701588297094847,0.27003086243366087,0.8533333333333333,0.9027450980392158,0.8366336633663366,0.8311688311688312,0.9059803921568627,0.806930693069307
1,3,2,0.1111111119389534,0.1111111119389534,6,6,12,0.012345679104328156,0.012345679104328156,0.16129033267498016,0.17701588297094847,0.27003086243366087,0.8533333333333333,0.9027450980392158,0.8366336633663366,0.8311688311688312,0.9059803921568627,0.806930693069307
1,3,3,0.0,0.0555555559694767,10,10,20,0.0,0.003086419776082039,0.16129033267498016,0.17701588297094847,0.27003086243366087,0.8533333333333333,0.9027450980392158,0.8366336633663366,0.8311688311688312,0.9059803921568627,0.806930693069307
1,3,4,0.0555555559694767,0.1111111119389534,4,4,8,0.003086419776082039,0.012345679104328156,0.16129033267498016,0.17701588297094847,0.27003086243366087,0.8533333333333333,0.9027450980392158,0.8366336633663366,0.8311688311688312,0.9059803921568627,0.806930693069307
1,3,5,0.1666666716337204,0.0,2,2,4,0.0277777798473835,0.0,0.16129033267498016,0.17701588297094847,0.27003086243366087,0.8533333333333333,0.9027450980392158,0.8366336633663366,0.8311688311688312,0.9059803921568627,0.806930693069307
1,3,6,0.0,0.0555555559694767,10,10,20,0.0,0.003086419776082039,0.16129033267498016,0.17701588297094847,0.27003086243366087,0.8533333333333333,0.9027450980392158,0.8366336633663366,0.8311688311688312,0.9059803921568627,0.806930693069307
1,3,7,0.0,0.0,3,3,6,0.0,0.0,0.16129033267498016,0.17701588297094847,0.27003086243366087,0.8533333333333333,0.9027450980392158,0.8366336633663366,0.8311688311688312,0.9059803921568627,0.806930693069307
1,3,8,0.0,0.0,9,9,18,0.0,0.0,0.16129033267498016,0.17701588297094847,0.27003086243366087,0.8533333333333333,0.9027450980392158,0.8366336633663366,0.8311688311688312,0.9059803921568627,0.806930693069307
1,3,9,0.0,0.0,3,3,6,0.0,0.0,0.16129033267498016,0.17701588297094847,0.27003086243366087,0.8533333333333333,0.9027450980392158,0.8366336633663366,0.8311688311688312,0.9059803921568627,0.806930693069307
