split,epoch,train_loss,train_acc,train_auc,train_f1,test_loss,test_acc,test_auc,test_f1
0,1,1.7309355815251668,0.48333333333333334,0.4411846496106785,0.651685393258427,1.7180484784121561,0.49504950495049505,0.43617647058823533,0.6622516556291391
0,2,0.953606653213501,0.4875,0.4949807755876059,0.6495726495726496,0.7164687337261615,0.5445544554455446,0.6677450980392157,0.6737588652482269
0,3,0.7080331603686015,0.47291666666666665,0.5091374269005848,0.6421499292786421,0.6773406093073363,0.504950495049505,0.6957843137254901,0.6644295302013423
0,4,0.6577015280723572,0.4583333333333333,0.6426678367705134,0.6209912536443148,0.6306464607172674,0.49504950495049505,0.7759803921568628,0.6622516556291391
0,5,0.6416615903377533,0.525,0.679678809788654,0.6647058823529411,0.6281432571387527,0.6336633663366337,0.7399019607843138,0.7016129032258065
0,6,0.5871364196141561,0.5770833333333333,0.7577809268881541,0.7152875175315568,0.5920793797710154,0.5495049504950495,0.7536274509803921,0.6738351254480287
0,7,0.5596025625864665,0.61875,0.7873099893785586,0.7272727272727273,0.5821515006003993,0.6584158415841584,0.7668627450980392,0.7160493827160493
0,8,0.5725282520055771,0.6208333333333333,0.7772758075446127,0.7129337539432177,0.5836881859467762,0.6584158415841584,0.7643137254901963,0.7160493827160493
0,9,0.5514305224021275,0.6520833333333333,0.7950895105137956,0.7248764415156508,0.6187625005103574,0.7079207920792079,0.7727450980392156,0.7203791469194313
0,10,0.539310618241628,0.65625,0.8016960094920695,0.7005444646098004,0.5893134811136982,0.6633663366336634,0.7763725490196078,0.7166666666666667
0,11,0.5309243480364482,0.6791666666666667,0.8116870679598127,0.7516129032258064,0.5780347992878149,0.6633663366336634,0.7733333333333333,0.734375
0,12,0.5174445559581121,0.7083333333333334,0.8238059584544932,0.7741935483870968,0.5988333715070592,0.6732673267326733,0.7670588235294118,0.717948717948718
0,13,0.5052342514197031,0.6833333333333333,0.8331293706293705,0.7610062893081762,0.6296247479939224,0.6534653465346535,0.7667647058823529,0.7154471544715447
0,14,0.595850427945455,0.7020833333333333,0.771237516283109,0.7547169811320755,0.5725040146619966,0.6336633663366337,0.7759803921568628,0.6991869918699187
0,15,0.5522491425275803,0.6375,0.7944664031620553,0.7314814814814815,0.6130628278940031,0.5742574257425742,0.7884313725490196,0.6906474820143885
0,16,0.6015401770671208,0.64375,0.7503846153846154,0.6862385321100918,0.5667872847896991,0.6534653465346535,0.7788235294117647,0.717741935483871
0,17,0.49869581262270607,0.6875,0.8393201270855397,0.7483221476510067,0.6142077935804234,0.698019801980198,0.7585294117647059,0.7312775330396476
0,18,0.524057333668073,0.7020833333333333,0.8177945387247714,0.7337057728119181,0.6158801686055589,0.7128712871287128,0.7625490196078433,0.7387387387387387
0,19,0.5870952288309733,0.63125,0.760722543855074,0.7168,0.5813231326565884,0.6039603960396039,0.7609803921568629,0.689922480620155
0,20,0.5145314822594325,0.6520833333333333,0.8296783625730995,0.7145299145299145,0.5983915659460691,0.6782178217821783,0.7619607843137254,0.7136563876651982
0,21,0.5135682245095571,0.6875,0.8247354497354497,0.7232472324723247,0.6041810719093473,0.6881188118811881,0.7600980392156862,0.7296137339055794
0,22,0.5155811011791229,0.7166666666666667,0.8259254114869088,0.7630662020905923,0.6045488721073264,0.6188118811881188,0.7598039215686275,0.6907630522088354
0,23,0.5577703366676966,0.6583333333333333,0.7896254603571677,0.7201365187713311,0.6627795436594746,0.594059405940594,0.7355882352941177,0.6917293233082706
0,24,0.5116097182035446,0.7104166666666667,0.8288255360623783,0.7458866544789763,0.6227561418372806,0.6039603960396039,0.7679411764705882,0.6923076923076923
0,25,0.5549045205116272,0.6354166666666666,0.7914959372178622,0.7145187601957586,0.5920321315822035,0.6188118811881188,0.7545098039215687,0.7003891050583657
0,26,0.4901980976263682,0.71875,0.8454242234730039,0.7723440134907251,0.5948419730262001,0.7029702970297029,0.7751960784313726,0.7321428571428571
0,27,0.5123083750406902,0.7145833333333333,0.8269935241931283,0.7650085763293311,0.57780390800816,0.6485148514851485,0.7818627450980392,0.7125506072874493
0,28,0.4979526643951734,0.6854166666666667,0.8409900130264872,0.7470686767169179,0.5818734351951297,0.6584158415841584,0.7754901960784314,0.7136929460580913
0,29,0.509591493010521,0.7041666666666667,0.827687443541102,0.757679180887372,0.5991228635948483,0.6336633663366337,0.7737254901960784,0.7086614173228346
0,30,0.4813777084151904,0.7375,0.8495718462823726,0.7885906040268457,0.6219327721265283,0.6188118811881188,0.762156862745098,0.6980392156862745
0,31,0.45869170824686684,0.7270833333333333,0.8692064484747413,0.768141592920354,0.6454442975544693,0.6336633663366337,0.7648039215686275,0.7109375
0,32,0.5597803831100464,0.6854166666666667,0.7929651556450633,0.7427597955706985,0.5903794246144815,0.6534653465346535,0.7647058823529411,0.7107438016528925
0,33,0.5018200089534124,0.6729166666666667,0.8391489361702127,0.7479935794542536,0.6354174537233787,0.6782178217821783,0.7588235294117647,0.7031963470319634
0,34,0.4932330270608266,0.7333333333333333,0.8424521739130435,0.7777777777777778,0.6078638345888345,0.6633663366336634,0.7696078431372548,0.7017543859649122
0,35,0.5162825047969818,0.6645833333333333,0.8237103726362625,0.7382113821138211,0.6003983504701369,0.6435643564356436,0.7708823529411765,0.7024793388429752
0,36,0.507104421655337,0.70625,0.8264003761034983,0.7354596622889306,0.6134143725480183,0.693069306930693,0.768235294117647,0.7155963302752294
0,37,0.5241322323679924,0.7020833333333333,0.8184281372123317,0.7604690117252931,0.5965753085542433,0.6732673267326733,0.7692156862745098,0.7079646017699115
