split,sample_idx,node_id,energy,in_degree,out_degree,tot_degree
0,0,1,0.012345679104328156,16,16,32
0,0,2,0.012345679104328156,6,6,12
0,0,5,0.003086419776082039,2,2,4
0,0,6,0.012345679104328156,10,10,20
0,0,12,0.012345679104328156,20,20,40
0,0,35,0.003086419776082039,1,1,2
0,0,42,0.003086419776082039,2,2,4
0,0,63,0.003086419776082039,4,4,8
0,0,71,0.003086419776082039,20,20,40
0,0,79,0.003086419776082039,2,2,4
0,0,81,0.003086419776082039,2,2,4
0,0,92,0.003086419776082039,4,4,8
0,0,93,0.003086419776082039,1,1,2
0,0,108,0.003086419776082039,1,1,2
0,1,4,0.003086419776082039,5,5,10
0,1,5,0.003086419776082039,2,2,4
0,1,6,0.012345679104328156,10,10,20
0,1,18,0.003086419776082039,5,5,10
0,1,44,0.04938271641731262,6,6,12
0,1,45,0.003086419776082039,3,3,6
0,1,60,0.003086419776082039,4,4,8
0,1,62,0.012345679104328156,1,1,2
0,1,65,0.003086419776082039,2,2,4
0,1,66,0.003086419776082039,3,3,6
0,1,78,0.003086419776082039,6,6,12
0,1,83,0.012345679104328156,4,4,8
0,2,4,0.003086419776082039,5,5,10
0,2,6,0.012345679104328156,10,10,20
0,2,9,0.003086419776082039,9,9,18
0,2,11,0.003086419776082039,6,6,12
0,2,14,0.003086419776082039,5,5,10
0,2,56,0.003086419776082039,6,6,12
0,2,57,0.003086419776082039,2,2,4
0,2,63,0.003086419776082039,4,4,8
0,2,64,0.003086419776082039,1,1,2
0,2,69,0.012345679104328156,20,20,40
0,2,88,0.003086419776082039,9,9,18
0,2,89,0.003086419776082039,1,1,2
0,2,92,0.003086419776082039,4,4,8
0,2,93,0.003086419776082039,1,1,2
0,2,99,0.003086419776082039,9,9,18
0,2,105,0.003086419776082039,2,2,4
0,6,9,0.003086419776082039,9,9,18
0,6,12,0.012345679104328156,19,19,38
0,6,14,0.003086419776082039,5,5,10
0,6,16,0.003086419776082039,16,16,32
0,6,26,0.003086419776082039,12,12,24
0,6,33,0.003086419776082039,1,1,2
0,6,36,0.003086419776082039,1,1,2
0,6,50,0.003086419776082039,2,2,4
0,6,60,0.003086419776082039,12,12,24
0,6,68,0.003086419776082039,20,20,40
0,6,72,0.003086419776082039,4,4,8
0,6,77,0.003086419776082039,3,3,6
0,6,81,0.003086419776082039,2,2,4
0,6,84,0.003086419776082039,2,2,4
0,6,85,0.003086419776082039,4,4,8
0,6,101,0.003086419776082039,9,9,18
0,6,106,0.003086419776082039,1,1,2
0,9,13,0.012345679104328156,2,2,4
0,9,15,0.003086419776082039,11,11,22
0,9,16,0.012345679104328156,16,16,32
0,9,19,0.003086419776082039,5,5,10
0,9,22,0.003086419776082039,4,4,8
0,9,23,0.003086419776082039,3,3,6
0,9,27,0.003086419776082039,3,3,6
0,9,46,0.003086419776082039,3,3,6
0,9,67,0.04938271641731262,20,20,40
0,9,70,0.003086419776082039,1,1,2
0,9,78,0.003086419776082039,6,6,12
0,9,95,0.003086419776082039,3,3,6
0,9,99,0.003086419776082039,9,9,18
0,10,0,0.003086419776082039,6,6,12
0,10,1,0.003086419776082039,17,17,34
0,10,3,0.012345679104328156,10,10,20
0,10,6,0.003086419776082039,10,10,20
0,10,11,0.012345679104328156,6,6,12
0,10,15,0.003086419776082039,11,11,22
0,10,17,0.003086419776082039,4,4,8
0,10,47,0.003086419776082039,3,3,6
0,10,60,0.003086419776082039,12,12,24
0,10,77,0.003086419776082039,3,3,6
0,10,90,0.003086419776082039,2,2,4
0,10,92,0.012345679104328156,9,9,18
0,10,94,0.003086419776082039,4,4,8
0,10,105,0.012345679104328156,9,9,18
0,13,3,0.012345679104328156,10,10,20
0,13,13,0.003086419776082039,2,2,4
0,13,14,0.012345679104328156,5,5,10
0,13,16,0.012345679104328156,16,16,32
0,13,17,0.003086419776082039,3,3,6
0,13,23,0.003086419776082039,3,3,6
0,13,24,0.003086419776082039,3,3,6
0,13,57,0.012345679104328156,12,12,24
0,13,67,0.0277777798473835,20,20,40
0,13,83,0.003086419776082039,2,2,4
0,13,84,0.003086419776082039,3,3,6
0,13,104,0.003086419776082039,2,2,4
0,16,0,0.003086419776082039,6,6,12
0,16,2,0.012345679104328156,6,6,12
0,16,3,0.012345679104328156,10,10,20
0,16,6,0.003086419776082039,9,9,18
0,16,14,0.012345679104328156,5,5,10
0,16,15,0.003086419776082039,11,11,22
0,16,16,0.012345679104328156,16,16,32
0,16,22,0.003086419776082039,4,4,8
0,16,24,0.003086419776082039,3,3,6
0,16,54,0.003086419776082039,6,6,12
0,16,59,0.012345679104328156,12,12,24
0,16,78,0.003086419776082039,2,2,4
0,16,88,0.003086419776082039,9,9,18
0,18,0,0.003086419776082039,6,6,12
0,18,3,0.012345679104328156,10,10,20
0,18,6,0.012345679104328156,10,10,20
0,18,8,0.003086419776082039,9,9,18
0,18,12,0.003086419776082039,2,2,4
0,18,13,0.003086419776082039,5,5,10
0,18,15,0.003086419776082039,15,15,30
0,18,16,0.003086419776082039,3,3,6
0,18,23,0.012345679104328156,3,3,6
0,18,57,0.003086419776082039,12,12,24
0,18,63,0.003086419776082039,4,4,8
0,18,75,0.0277777798473835,6,6,12
0,18,83,0.003086419776082039,9,9,18
0,19,3,0.012345679104328156,10,10,20
0,19,6,0.003086419776082039,10,10,20
0,19,10,0.003086419776082039,4,4,8
0,19,14,0.003086419776082039,5,5,10
0,19,19,0.003086419776082039,4,4,8
0,19,23,0.003086419776082039,3,3,6
0,19,60,0.003086419776082039,12,12,24
0,19,68,0.07716049998998642,20,20,40
0,19,71,0.003086419776082039,1,1,2
0,19,74,0.003086419776082039,3,3,6
0,19,84,0.003086419776082039,2,2,4
0,19,85,0.003086419776082039,3,3,6
0,19,86,0.003086419776082039,1,1,2
0,21,3,0.003086419776082039,10,10,20
0,21,13,0.003086419776082039,5,5,10
0,21,14,0.003086419776082039,11,11,22
0,21,15,0.003086419776082039,15,15,30
0,21,20,0.012345679104328156,9,9,18
0,21,21,0.003086419776082039,4,4,8
0,21,25,0.04938271641731262,12,12,24
0,21,43,0.003086419776082039,2,2,4
0,21,47,0.003086419776082039,1,1,2
0,21,49,0.003086419776082039,3,3,6
0,21,50,0.003086419776082039,3,3,6
0,21,60,0.003086419776082039,1,1,2
0,21,81,0.003086419776082039,9,9,18
0,21,82,0.003086419776082039,1,1,2
0,23,6,0.003086419776082039,10,10,20
0,23,8,0.003086419776082039,4,4,8
0,23,9,0.003086419776082039,9,9,18
0,23,11,0.012345679104328156,6,6,12
0,23,12,0.003086419776082039,20,20,40
0,23,15,0.003086419776082039,11,11,22
0,23,19,0.003086419776082039,5,5,10
0,23,23,0.003086419776082039,3,3,6
0,23,26,0.003086419776082039,12,12,24
0,23,47,0.003086419776082039,6,6,12
0,23,52,0.003086419776082039,1,1,2
0,23,53,0.003086419776082039,3,3,6
0,23,56,0.003086419776082039,6,6,12
0,23,67,0.003086419776082039,20,20,40
0,23,91,0.003086419776082039,3,3,6
0,23,96,0.012345679104328156,9,9,18
0,24,1,0.0277777798473835,17,17,34
0,24,10,0.003086419776082039,6,6,12
0,24,11,0.003086419776082039,20,20,40
0,24,14,0.003086419776082039,11,11,22
0,24,21,0.04938271641731262,3,3,6
0,24,35,0.003086419776082039,1,1,2
0,24,41,0.003086419776082039,2,2,4
0,24,53,0.003086419776082039,6,6,12
0,24,80,0.0277777798473835,1,1,2
0,24,83,0.012345679104328156,9,9,18
0,25,3,0.012345679104328156,10,10,20
0,25,6,0.003086419776082039,10,10,20
0,25,9,0.0277777798473835,9,9,18
0,25,13,0.003086419776082039,1,1,2
0,25,14,0.003086419776082039,5,5,10
0,25,15,0.012345679104328156,11,11,22
0,25,16,0.003086419776082039,15,15,30
0,25,18,0.003086419776082039,1,1,2
0,25,27,0.003086419776082039,3,3,6
0,25,47,0.003086419776082039,2,2,4
0,25,54,0.003086419776082039,6,6,12
0,25,59,0.003086419776082039,12,12,24
0,25,85,0.003086419776082039,4,4,8
0,25,94,0.003086419776082039,9,9,18
0,26,3,0.003086419776082039,10,10,20
0,26,6,0.003086419776082039,7,7,14
0,26,9,0.003086419776082039,9,9,18
0,26,11,0.003086419776082039,6,6,12
0,26,13,0.003086419776082039,2,2,4
0,26,19,0.003086419776082039,5,5,10
0,26,22,0.003086419776082039,4,4,8
0,26,46,0.003086419776082039,6,6,12
0,26,47,0.003086419776082039,3,3,6
0,26,66,0.003086419776082039,4,4,8
0,26,67,0.0277777798473835,20,20,40
0,26,73,0.003086419776082039,3,3,6
0,26,80,0.003086419776082039,1,1,2
0,26,84,0.003086419776082039,1,1,2
0,26,95,0.003086419776082039,3,3,6
0,26,99,0.003086419776082039,9,9,18
0,27,9,0.003086419776082039,9,9,18
0,27,11,0.003086419776082039,6,6,12
0,27,12,0.003086419776082039,20,20,40
0,27,13,0.003086419776082039,2,2,4
0,27,15,0.012345679104328156,11,11,22
0,27,24,0.003086419776082039,3,3,6
0,27,31,0.003086419776082039,1,1,2
0,27,47,0.003086419776082039,3,3,6
0,27,68,0.07716049998998642,20,20,40
0,27,69,0.003086419776082039,1,1,2
0,27,73,0.003086419776082039,1,1,2
0,27,90,0.003086419776082039,9,9,18
0,27,102,0.003086419776082039,9,9,18
0,30,1,0.0277777798473835,17,17,34
0,30,3,0.003086419776082039,10,10,20
0,30,13,0.003086419776082039,5,5,10
0,30,14,0.003086419776082039,11,11,22
0,30,16,0.003086419776082039,4,4,8
0,30,20,0.003086419776082039,9,9,18
0,30,23,0.003086419776082039,3,3,6
0,30,40,0.003086419776082039,2,2,4
0,30,43,0.003086419776082039,2,2,4
0,30,57,0.012345679104328156,12,12,24
0,30,62,0.003086419776082039,2,2,4
0,30,74,0.012345679104328156,6,6,12
0,30,92,0.012345679104328156,2,2,4
0,31,2,0.003086419776082039,6,6,12
0,31,6,0.003086419776082039,10,10,20
0,31,14,0.003086419776082039,11,11,22
0,31,15,0.003086419776082039,15,15,30
0,31,18,0.012345679104328156,5,5,10
0,31,19,0.003086419776082039,3,3,6
0,31,20,0.003086419776082039,9,9,18
0,31,21,0.003086419776082039,4,4,8
0,31,25,0.012345679104328156,11,11,22
0,31,28,0.012345679104328156,1,1,2
0,31,44,0.012345679104328156,6,6,12
0,31,56,0.003086419776082039,1,1,2
0,31,81,0.003086419776082039,9,9,18
0,31,82,0.003086419776082039,1,1,2
0,32,3,0.003086419776082039,10,10,20
0,32,8,0.003086419776082039,9,9,18
0,32,10,0.003086419776082039,6,6,12
0,32,13,0.003086419776082039,5,5,10
0,32,14,0.003086419776082039,11,11,22
0,32,18,0.003086419776082039,5,5,10
0,32,21,0.003086419776082039,4,4,8
0,32,44,0.003086419776082039,6,6,12
0,32,46,0.003086419776082039,1,1,2
0,32,79,0.003086419776082039,9,9,18
0,32,80,0.003086419776082039,1,1,2
0,32,81,0.003086419776082039,4,4,8
0,32,83,0.012345679104328156,4,4,8
0,32,84,0.012345679104328156,1,1,2
0,32,89,0.012345679104328156,9,9,18
0,33,3,0.0277777798473835,10,10,20
0,33,6,0.003086419776082039,9,9,18
0,33,13,0.04938271641731262,16,16,32
0,33,19,0.003086419776082039,4,4,8
0,33,21,0.003086419776082039,3,3,6
0,33,23,0.003086419776082039,11,11,22
0,33,26,0.003086419776082039,1,1,2
0,33,42,0.003086419776082039,1,1,2
0,33,49,0.012345679104328156,12,12,24
0,33,64,0.003086419776082039,3,3,6
0,33,72,0.012345679104328156,9,9,18
0,39,0,0.003086419776082039,6,6,12
0,39,3,0.003086419776082039,10,10,20
0,39,6,0.003086419776082039,10,10,20
0,39,9,0.003086419776082039,9,9,18
0,39,10,0.003086419776082039,4,4,8
0,39,12,0.012345679104328156,19,19,38
0,39,31,0.111111119389534,2,2,4
0,39,38,0.003086419776082039,1,1,2
0,39,67,0.003086419776082039,20,20,40
0,39,92,0.0277777798473835,1,1,2
0,40,1,0.003086419776082039,10,10,20
0,40,10,0.07716049998998642,20,20,40
0,40,24,0.04938271641731262,1,1,2
0,40,29,0.003086419776082039,1,1,2
0,40,57,0.07716049998998642,1,1,2
0,40,58,0.003086419776082039,2,2,4
0,40,61,0.003086419776082039,1,1,2
0,42,1,0.003086419776082039,16,16,32
0,42,12,0.012345679104328156,20,20,40
0,42,41,0.111111119389534,2,2,4
0,42,52,0.003086419776082039,4,4,8
0,42,65,0.012345679104328156,20,20,40
0,42,73,0.003086419776082039,2,2,4
0,42,82,0.003086419776082039,3,3,6
0,42,85,0.003086419776082039,2,2,4
0,42,101,0.0277777798473835,1,1,2
0,43,1,0.003086419776082039,16,16,32
0,43,12,0.012345679104328156,20,20,40
0,43,23,0.003086419776082039,3,3,6
0,43,41,0.111111119389534,2,2,4
0,43,65,0.012345679104328156,20,20,40
0,43,73,0.003086419776082039,2,2,4
0,43,93,0.003086419776082039,3,3,6
0,43,101,0.0277777798473835,1,1,2
0,43,104,0.003086419776082039,1,1,2
0,46,1,0.003086419776082039,16,16,32
0,46,8,0.003086419776082039,4,4,8
0,46,9,0.003086419776082039,9,9,18
0,46,12,0.003086419776082039,20,20,40
0,46,19,0.003086419776082039,5,5,10
0,46,28,0.003086419776082039,3,3,6
0,46,41,0.111111119389534,2,2,4
0,46,65,0.012345679104328156,20,20,40
0,46,85,0.003086419776082039,2,2,4
0,46,101,0.0277777798473835,1,1,2
0,47,0,0.003086419776082039,6,6,12
0,47,1,0.003086419776082039,16,16,32
0,47,2,0.003086419776082039,6,6,12
0,47,16,0.003086419776082039,16,16,32
0,47,21,0.003086419776082039,9,9,18
0,47,41,0.111111119389534,2,2,4
0,47,63,0.003086419776082039,2,2,4
0,47,64,0.003086419776082039,4,4,8
0,47,65,0.012345679104328156,20,20,40
0,47,101,0.0277777798473835,1,1,2
0,49,1,0.003086419776082039,16,16,32
0,49,12,0.003086419776082039,20,20,40
0,49,22,0.003086419776082039,4,4,8
0,49,39,0.003086419776082039,1,1,2
0,49,41,0.111111119389534,2,2,4
0,49,65,0.012345679104328156,20,20,40
0,49,68,0.003086419776082039,1,1,2
0,49,87,0.003086419776082039,9,9,18
0,49,98,0.003086419776082039,9,9,18
0,49,101,0.0277777798473835,1,1,2
0,52,1,0.0277777798473835,17,17,34
0,52,8,0.003086419776082039,2,2,4
0,52,9,0.003086419776082039,2,2,4
0,52,13,0.003086419776082039,4,4,8
0,52,28,0.0277777798473835,1,1,2
0,52,51,0.012345679104328156,9,9,18
0,52,55,0.003086419776082039,9,9,18
0,52,58,0.111111119389534,1,1,2
0,55,0,0.003086419776082039,6,6,12
0,55,1,0.012345679104328156,16,16,32
0,55,2,0.003086419776082039,6,6,12
0,55,9,0.003086419776082039,9,9,18
0,55,12,0.04938271641731262,20,20,40
0,55,14,0.003086419776082039,5,5,10
0,55,16,0.003086419776082039,16,16,32
0,55,21,0.003086419776082039,9,9,18
0,55,30,0.003086419776082039,2,2,4
0,55,31,0.003086419776082039,1,1,2
0,55,36,0.003086419776082039,1,1,2
0,55,66,0.012345679104328156,20,20,40
0,55,86,0.003086419776082039,2,2,4
0,57,1,0.04938271641731262,17,17,34
0,57,3,0.003086419776082039,10,10,20
0,57,12,0.0277777798473835,19,19,38
0,57,21,0.003086419776082039,9,9,18
0,57,33,0.003086419776082039,1,1,2
0,57,43,0.003086419776082039,2,2,4
0,57,60,0.0277777798473835,12,12,24
0,57,68,0.003086419776082039,20,20,40
0,57,88,0.003086419776082039,2,2,4
0,57,90,0.003086419776082039,9,9,18
0,57,100,0.003086419776082039,2,2,4
0,59,3,0.0277777798473835,10,10,20
0,59,9,0.012345679104328156,9,9,18
0,59,13,0.003086419776082039,2,2,4
0,59,14,0.003086419776082039,5,5,10
0,59,15,0.003086419776082039,10,10,20
0,59,16,0.0277777798473835,16,16,32
0,59,17,0.003086419776082039,4,4,8
0,59,26,0.012345679104328156,12,12,24
0,59,29,0.003086419776082039,1,1,2
0,59,48,0.003086419776082039,3,3,6
0,59,56,0.003086419776082039,12,12,24
0,59,57,0.003086419776082039,1,1,2
0,61,0,0.003086419776082039,6,6,12
0,61,3,0.003086419776082039,10,10,20
0,61,6,0.0277777798473835,10,10,20
0,61,9,0.003086419776082039,9,9,18
0,61,10,0.003086419776082039,4,4,8
0,61,11,0.003086419776082039,6,6,12
0,61,15,0.003086419776082039,11,11,22
0,61,19,0.003086419776082039,4,4,8
0,61,46,0.003086419776082039,3,3,6
0,61,54,0.003086419776082039,4,4,8
0,61,66,0.003086419776082039,4,4,8
0,61,67,0.0277777798473835,20,20,40
0,61,97,0.003086419776082039,1,1,2
0,61,101,0.003086419776082039,9,9,18
0,62,0,0.003086419776082039,6,6,12
0,62,2,0.003086419776082039,6,6,12
0,62,5,0.003086419776082039,2,2,4
0,62,6,0.003086419776082039,10,10,20
0,62,10,0.003086419776082039,6,6,12
0,62,16,0.003086419776082039,3,3,6
0,62,18,0.003086419776082039,5,5,10
0,62,23,0.003086419776082039,3,3,6
0,62,42,0.003086419776082039,2,2,4
0,62,48,0.003086419776082039,4,4,8
0,62,50,0.003086419776082039,12,12,24
0,62,56,0.012345679104328156,2,2,4
0,62,57,0.012345679104328156,4,4,8
0,62,58,0.003086419776082039,20,20,40
0,62,69,0.003086419776082039,6,6,12
0,62,85,0.003086419776082039,9,9,18
0,63,2,0.012345679104328156,6,6,12
0,63,3,0.003086419776082039,10,10,20
0,63,6,0.003086419776082039,9,9,18
0,63,9,0.0277777798473835,9,9,18
0,63,10,0.003086419776082039,4,4,8
0,63,11,0.003086419776082039,6,6,12
0,63,16,0.003086419776082039,16,16,32
0,63,19,0.012345679104328156,5,5,10
0,63,28,0.012345679104328156,3,3,6
0,63,65,0.003086419776082039,20,20,40
0,63,83,0.012345679104328156,4,4,8
0,63,84,0.003086419776082039,1,1,2
0,64,0,0.003086419776082039,6,6,12
0,64,5,0.003086419776082039,2,2,4
0,64,15,0.003086419776082039,16,16,32
0,64,18,0.012345679104328156,5,5,10
0,64,21,0.003086419776082039,3,3,6
0,64,23,0.003086419776082039,3,3,6
0,64,30,0.012345679104328156,1,1,2
0,64,51,0.003086419776082039,6,6,12
0,64,53,0.003086419776082039,4,4,8
0,64,61,0.15123456716537476,1,1,2
0,66,2,0.012345679104328156,3,3,6
0,66,5,0.003086419776082039,1,1,2
0,66,8,0.003086419776082039,1,1,2
0,66,13,0.012345679104328156,1,1,2
0,66,14,0.0277777798473835,2,2,4
0,66,18,0.003086419776082039,1,1,2
0,66,19,0.0277777798473835,20,20,40
0,66,27,0.012345679104328156,2,2,4
0,66,28,0.0277777798473835,4,4,8
0,68,1,0.003086419776082039,17,17,34
0,68,11,0.003086419776082039,7,7,14
0,68,33,0.0277777798473835,2,2,4
0,68,41,0.003086419776082039,1,1,2
0,68,42,0.003086419776082039,2,2,4
0,68,44,0.003086419776082039,4,4,8
0,68,45,0.0277777798473835,20,20,40
0,68,57,0.003086419776082039,1,1,2
0,68,59,0.0277777798473835,2,2,4
0,68,60,0.0277777798473835,4,4,8
0,70,1,0.003086419776082039,17,17,34
0,70,3,0.0277777798473835,10,10,20
0,70,14,0.003086419776082039,10,10,20
0,70,15,0.003086419776082039,16,16,32
0,70,18,0.003086419776082039,5,5,10
0,70,25,0.0277777798473835,12,12,24
0,70,43,0.003086419776082039,2,2,4
0,70,50,0.003086419776082039,4,4,8
0,70,57,0.012345679104328156,12,12,24
0,70,64,0.003086419776082039,20,20,40
0,70,73,0.003086419776082039,3,3,6
0,70,82,0.003086419776082039,9,9,18
0,70,85,0.003086419776082039,1,1,2
0,73,3,0.003086419776082039,10,10,20
0,73,4,0.003086419776082039,5,5,10
0,73,10,0.003086419776082039,6,6,12
0,73,14,0.003086419776082039,11,11,22
0,73,46,0.0277777798473835,5,5,10
0,73,48,0.0277777798473835,1,1,2
0,73,49,0.003086419776082039,1,1,2
0,73,55,0.003086419776082039,20,20,40
0,73,67,0.003086419776082039,3,3,6
0,73,79,0.0277777798473835,9,9,18
0,73,80,0.012345679104328156,1,1,2
0,76,9,0.003086419776082039,9,9,18
0,76,11,0.003086419776082039,6,6,12
0,76,12,0.04938271641731262,20,20,40
0,76,13,0.003086419776082039,2,2,4
0,76,15,0.003086419776082039,11,11,22
0,76,16,0.003086419776082039,16,16,32
0,76,22,0.003086419776082039,4,4,8
0,76,33,0.003086419776082039,1,1,2
0,76,54,0.012345679104328156,5,5,10
0,76,55,0.003086419776082039,2,2,4
0,76,56,0.003086419776082039,1,1,2
0,76,57,0.003086419776082039,1,1,2
0,76,77,0.003086419776082039,1,1,2
0,76,94,0.003086419776082039,9,9,18
0,80,1,0.003086419776082039,16,16,32
0,80,3,0.012345679104328156,10,10,20
