split,epoch,train_loss,train_acc,train_auc,train_f1,test_loss,test_acc,test_auc,test_f1
0,1,0.7303265670935313,0.5125,0.5139865604000625,0.5165289256198347,0.7559748223194709,0.48717948717948717,0.6173570019723866,0.0
0,2,0.7426884194215139,0.5395833333333333,0.49300217864923745,0.6519685039370079,0.6615795989831289,0.6538461538461539,0.6522024983563445,0.6582278481012658
0,3,0.6943983852863311,0.5208333333333334,0.5796912712055704,0.6101694915254238,0.7216889942303683,0.5897435897435898,0.6804733727810651,0.36
0,4,0.6465446631113688,0.6270833333333333,0.6802208486700466,0.6654205607476635,0.6479166998313024,0.6538461538461539,0.7166337935568705,0.6086956521739131
0,5,0.6419236948092778,0.6479166666666667,0.7133475019162427,0.6910420475319927,0.8094801620031015,0.5897435897435898,0.7113740959894805,0.4838709677419355
0,6,0.5335717290639878,0.7270833333333333,0.8077728891682381,0.7587476979742173,0.8299924295682174,0.6410256410256411,0.7067718606180146,0.6
0,7,0.5830332676569621,0.7333333333333333,0.7717890108356164,0.7584905660377359,0.7495618760585785,0.6410256410256411,0.7021696252465484,0.6216216216216216
0,8,0.5013566215833029,0.7708333333333334,0.8266138145656219,0.7834645669291339,0.8280605161801363,0.6282051282051282,0.6844181459566074,0.5915492957746479
0,9,0.5375695794820785,0.76875,0.7954936629635426,0.7592190889370932,0.9493607874864187,0.6410256410256411,0.7107166337935569,0.5882352941176471
0,10,0.5024094293514888,0.7875,0.834193918531268,0.7992125984251969,0.8541458119184543,0.6282051282051282,0.7094017094017094,0.5915492957746479
0,11,0.5070574045181274,0.7854166666666667,0.8334610828513692,0.7992202729044834,0.7607972614276104,0.6282051282051282,0.6923076923076923,0.5915492957746479
0,12,0.5179236968358357,0.7625,0.8191652173913043,0.7764705882352941,0.8109825115937453,0.6153846153846154,0.685733070348455,0.5833333333333334
0,13,0.5599864353736241,0.7145833333333333,0.7838851368947378,0.7198364008179959,0.7915842296221317,0.6410256410256411,0.6962524654832347,0.6
0,14,0.48671204497416815,0.76875,0.8439729856421119,0.7720739219712526,0.8608116522813455,0.6538461538461539,0.6916502301117686,0.6086956521739131
0,15,0.4878578046957652,0.7791666666666667,0.8370820668693009,0.7782426778242678,0.8714697017119482,0.6538461538461539,0.7258382642998028,0.6086956521739131
0,16,0.46309333642323813,0.79375,0.8569216583447868,0.7843137254901961,0.9347082598087115,0.6538461538461539,0.7061143984220908,0.6086956521739131
