split,sample_idx,node_id,freq_learn,freq_rw,in_degree,out_degree,tot_degree,energy_learn,energy_rw,jaccard_w,rho_energy_delta_learn,rho_energy_delta_rw,global_f1_learn,global_auc_learn,global_acc_learn,global_f1_rw,global_auc_rw,global_acc_rw
1,5,0,0.0555555559694767,0.1666666716337204,15,15,30,0.003086419776082039,0.0277777798473835,0.4999999701976776,0.1736850429193183,-0.33009661172001786,0.8148148148148148,0.8948060486522024,0.8076923076923077,0.7951807228915662,0.8777120315581854,0.782051282051282
1,5,1,0.07407407462596893,0.07407407462596893,9,9,18,0.0054869684390723705,0.0054869684390723705,0.4999999701976776,0.1736850429193183,-0.33009661172001786,0.8148148148148148,0.8948060486522024,0.8076923076923077,0.7951807228915662,0.8777120315581854,0.782051282051282
1,5,2,0.07407407462596893,0.0555555559694767,10,10,20,0.0054869684390723705,0.003086419776082039,0.4999999701976776,0.1736850429193183,-0.33009661172001786,0.8148148148148148,0.8948060486522024,0.8076923076923077,0.7951807228915662,0.8777120315581854,0.782051282051282
1,5,3,0.07407407462596893,0.03703703731298447,6,6,12,0.0054869684390723705,0.0013717421097680926,0.4999999701976776,0.1736850429193183,-0.33009661172001786,0.8148148148148148,0.8948060486522024,0.8076923076923077,0.7951807228915662,0.8777120315581854,0.782051282051282
1,5,4,0.07407407462596893,0.018518518656492233,3,3,6,0.0054869684390723705,0.00034293552744202316,0.4999999701976776,0.1736850429193183,-0.33009661172001786,0.8148148148148148,0.8948060486522024,0.8076923076923077,0.7951807228915662,0.8777120315581854,0.782051282051282
1,5,5,0.03703703731298447,0.018518518656492233,3,3,6,0.0013717421097680926,0.00034293552744202316,0.4999999701976776,0.1736850429193183,-0.33009661172001786,0.8148148148148148,0.8948060486522024,0.8076923076923077,0.7951807228915662,0.8777120315581854,0.782051282051282
1,5,6,0.07407407462596893,0.12962962687015533,4,4,8,0.0054869684390723705,0.016803840175271034,0.4999999701976776,0.1736850429193183,-0.33009661172001786,0.8148148148148148,0.8948060486522024,0.8076923076923077,0.7951807228915662,0.8777120315581854,0.782051282051282
1,5,7,0.018518518656492233,0.0555555559694767,4,4,8,0.00034293552744202316,0.003086419776082039,0.4999999701976776,0.1736850429193183,-0.33009661172001786,0.8148148148148148,0.8948060486522024,0.8076923076923077,0.7951807228915662,0.8777120315581854,0.782051282051282
1,5,8,0.03703703731298447,0.03703703731298447,5,5,10,0.0013717421097680926,0.0013717421097680926,0.4999999701976776,0.1736850429193183,-0.33009661172001786,0.8148148148148148,0.8948060486522024,0.8076923076923077,0.7951807228915662,0.8777120315581854,0.782051282051282
1,5,9,0.0,0.0,2,2,4,0.0,0.0,0.4999999701976776,0.1736850429193183,-0.33009661172001786,0.8148148148148148,0.8948060486522024,0.8076923076923077,0.7951807228915662,0.8777120315581854,0.782051282051282
1,5,10,0.07407407462596893,0.0555555559694767,3,3,6,0.0054869684390723705,0.003086419776082039,0.4999999701976776,0.1736850429193183,-0.33009661172001786,0.8148148148148148,0.8948060486522024,0.8076923076923077,0.7951807228915662,0.8777120315581854,0.782051282051282
1,5,11,0.018518518656492233,0.0,1,1,2,0.00034293552744202316,0.0,0.4999999701976776,0.1736850429193183,-0.33009661172001786,0.8148148148148148,0.8948060486522024,0.8076923076923077,0.7951807228915662,0.8777120315581854,0.782051282051282
1,5,12,0.018518518656492233,0.018518518656492233,2,2,4,0.00034293552744202316,0.00034293552744202316,0.4999999701976776,0.1736850429193183,-0.33009661172001786,0.8148148148148148,0.8948060486522024,0.8076923076923077,0.7951807228915662,0.8777120315581854,0.782051282051282
1,5,13,0.0555555559694767,0.0,5,5,10,0.003086419776082039,0.0,0.4999999701976776,0.1736850429193183,-0.33009661172001786,0.8148148148148148,0.8948060486522024,0.8076923076923077,0.7951807228915662,0.8777120315581854,0.782051282051282
1,5,14,0.0,0.0,2,2,4,0.0,0.0,0.4999999701976776,0.1736850429193183,-0.33009661172001786,0.8148148148148148,0.8948060486522024,0.8076923076923077,0.7951807228915662,0.8777120315581854,0.782051282051282
1,5,15,0.0,0.018518518656492233,2,2,4,0.0,0.00034293552744202316,0.4999999701976776,0.1736850429193183,-0.33009661172001786,0.8148148148148148,0.8948060486522024,0.8076923076923077,0.7951807228915662,0.8777120315581854,0.782051282051282
1,5,16,0.07407407462596893,0.07407407462596893,2,2,4,0.0054869684390723705,0.0054869684390723705,0.4999999701976776,0.1736850429193183,-0.33009661172001786,0.8148148148148148,0.8948060486522024,0.8076923076923077,0.7951807228915662,0.8777120315581854,0.782051282051282
1,5,17,0.018518518656492233,0.03703703731298447,2,2,4,0.00034293552744202316,0.0013717421097680926,0.4999999701976776,0.1736850429193183,-0.33009661172001786,0.8148148148148148,0.8948060486522024,0.8076923076923077,0.7951807228915662,0.8777120315581854,0.782051282051282
1,5,18,0.0,0.0,2,2,4,0.0,0.0,0.4999999701976776,0.1736850429193183,-0.33009661172001786,0.8148148148148148,0.8948060486522024,0.8076923076923077,0.7951807228915662,0.8777120315581854,0.782051282051282
1,5,19,0.0,0.018518518656492233,3,3,6,0.0,0.00034293552744202316,0.4999999701976776,0.1736850429193183,-0.33009661172001786,0.8148148148148148,0.8948060486522024,0.8076923076923077,0.7951807228915662,0.8777120315581854,0.782051282051282
1,5,20,0.0,0.03703703731298447,2,2,4,0.0,0.0013717421097680926,0.4999999701976776,0.1736850429193183,-0.33009661172001786,0.8148148148148148,0.8948060486522024,0.8076923076923077,0.7951807228915662,0.8777120315581854,0.782051282051282
1,5,21,0.018518518656492233,0.018518518656492233,2,2,4,0.00034293552744202316,0.00034293552744202316,0.4999999701976776,0.1736850429193183,-0.33009661172001786,0.8148148148148148,0.8948060486522024,0.8076923076923077,0.7951807228915662,0.8777120315581854,0.782051282051282
1,5,22,0.0,0.018518518656492233,2,2,4,0.0,0.00034293552744202316,0.4999999701976776,0.1736850429193183,-0.33009661172001786,0.8148148148148148,0.8948060486522024,0.8076923076923077,0.7951807228915662,0.8777120315581854,0.782051282051282
1,5,23,0.018518518656492233,0.0,5,5,10,0.00034293552744202316,0.0,0.4999999701976776,0.1736850429193183,-0.33009661172001786,0.8148148148148148,0.8948060486522024,0.8076923076923077,0.7951807228915662,0.8777120315581854,0.782051282051282
1,5,24,0.018518518656492233,0.0,3,3,6,0.00034293552744202316,0.0,0.4999999701976776,0.1736850429193183,-0.33009661172001786,0.8148148148148148,0.8948060486522024,0.8076923076923077,0.7951807228915662,0.8777120315581854,0.782051282051282
1,5,25,0.018518518656492233,0.0,3,3,6,0.00034293552744202316,0.0,0.4999999701976776,0.1736850429193183,-0.33009661172001786,0.8148148148148148,0.8948060486522024,0.8076923076923077,0.7951807228915662,0.8777120315581854,0.782051282051282
